Symbol,Name,IPOYear,Sector,industry,primaryExchange,secType,currency,exchange,priceIncrement
AAP,Advance Auto Parts Inc,,Consumer Services,Other Specialty Stores,NYSE,STK,USD,,
ADSW,"Advanced Disposal Services, Inc.",2016,Public Utilities,Environmental Services,NYSE,STK,USD,,
WMS,"Advanced Drainage Systems, Inc.",2014,Capital Goods,Containers/Packaging,NYSE,STK,USD,,
ASIX,AdvanSix Inc.,2016,Basic Industries,Major Chemicals,NYSE,STK,USD,,
AAV,Advantage Oil & Gas Ltd,,Energy,Oil & Gas Production,NYSE,STK,USD,,
AVK,Advent Claymore Convertible Securities and Income Fund,2003,n/a,n/a,NYSE,STK,USD,,
AGC,Advent Claymore Convertible Securities and Income Fund II,2007,n/a,n/a,NYSE,STK,USD,,
LCM,Advent/Claymore Enhanced Growth & Income Fund,2005,n/a,n/a,NYSE,STK,USD,,
ACM,AECOM,2007,Consumer Services,Military/Government/Technical,NYSE,STK,USD,,
ANW,Aegean Marine Petroleum Network Inc.,2006,Energy,Oil Refining/Marketing,NYSE,STK,USD,,
AEB,Aegon NV,,Finance,Life Insurance,NYSE,STK,USD,,
AED,Aegon NV,,Finance,Life Insurance,NYSE,STK,USD,,
AEG,Aegon NV,,Finance,Life Insurance,NYSE,STK,USD,,
AEH,Aegon NV,,Finance,Life Insurance,NYSE,STK,USD,,
AER,Aercap Holdings N.V.,2006,Technology,Diversified Commercial Services,NYSE,STK,USD,,
HIVE,"Aerohive Networks, Inc.",2014,Technology,EDP Services,NYSE,STK,USD,,
AJRD,"Aerojet Rocketdyne Holdings, Inc. ",,Capital Goods,Military/Government/Technical,NYSE,STK,USD,,
AET,Aetna Inc.,,Health Care,Medical Specialities,NYSE,STK,USD,,
AMG,"Affiliated Managers Group, Inc.",,Finance,Investment Managers,NYSE,STK,USD,,
AFL,Aflac Incorporated,,Finance,Accident &Health Insurance,NYSE,STK,USD,,
MITT,"AG Mortgage Investment Trust, Inc.",2011,n/a,n/a,NYSE,STK,USD,,
AGCO,AGCO Corporation,,Capital Goods,Industrial Machinery/Components,NYSE,STK,USD,,
A,"Agilent Technologies, Inc.",1999,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NYSE,STK,USD,,
AEM,Agnico Eagle Mines Limited,,Basic Industries,Precious Metals,NYSE,STK,USD,,
ADC,Agree Realty Corporation,,Consumer Services,Real Estate Investment Trusts,NYSE,STK,USD,,
AL,Air Lease Corporation,2011,Technology,Diversified Commercial Services,NYSE,STK,USD,,
APD,"Air Products and Chemicals, Inc.",,Basic Industries,Major Chemicals,NYSE,STK,USD,,
AYR,Aircastle Limited,2006,Technology,Diversified Commercial Services,NYSE,STK,USD,,
AKS,AK Steel Holding Corporation,,Basic Industries,Steel/Iron Ore,NYSE,STK,USD,,
ALG,"Alamo Group, Inc.",,Capital Goods,Industrial Machinery/Components,NYSE,STK,USD,,
AGI,Alamos Gold Inc.,2015,Basic Industries,Precious Metals,NYSE,STK,USD,,
ALK,"Alaska Air Group, Inc.",,Transportation,Air Freight/Delivery Services,NYSE,STK,USD,,
AIN,Albany International Corporation,,Basic Industries,Textiles,NYSE,STK,USD,,
ALB,Albemarle Corporation,,Basic Industries,Major Chemicals,NYSE,STK,USD,,
AA,Alcoa Corporation,2016,Basic Industries,Aluminum,NYSE,STK,USD,,
ALEX,"Alexander & Baldwin, Inc.",,Consumer Services,Real Estate Investment Trusts,NYSE,STK,USD,,
ALX,"Alexander&#39;s, Inc.",,Consumer Services,Real Estate Investment Trusts,NYSE,STK,USD,,
ARE,"Alexandria Real Estate Equities, Inc.",,Consumer Services,Real Estate Investment Trusts,NYSE,STK,USD,,
AQN,Algonquin Power & Utilities Corp.,2016,Public Utilities,Electric Utilities: Central,NYSE,STK,USD,,
BABA,Alibaba Group Holding Limited,2014,Miscellaneous,Business Services,NYSE,STK,USD,,
Y,Alleghany Corporation,,Finance,Property-Casualty Insurers,NYSE,STK,USD,,
ATI,Allegheny Technologies Incorporated,,Basic Industries,Steel/Iron Ore,NYSE,STK,USD,,
ALLE,Allegion plc,2013,Consumer Services,Diversified Commercial Services,NYSE,STK,USD,,
AGN,Allergan plc.,2013,Health Care,Major Pharmaceuticals,NYSE,STK,USD,,
ALE,"Allete, Inc.",,Public Utilities,Power Generation,NYSE,STK,USD,,
AKP,Alliance California Municipal Income Fund Inc,2002,n/a,n/a,NYSE,STK,USD,,
ADS,Alliance Data Systems Corporation,2001,Miscellaneous,Business Services,NYSE,STK,USD,,
AFB,Alliance National Municipal Income Fund Inc,2002,n/a,n/a,NYSE,STK,USD,,
AOI,"Alliance One International, Inc.",,Consumer Services,Farming/Seeds/Milling,NYSE,STK,USD,,
AWF,Alliance World Dollar Government Fund II,1993,n/a,n/a,NYSE,STK,USD,,
AB,AllianceBernstein Holding L.P.,,Finance,Investment Managers,NYSE,STK,USD,,
LNT,Alliant Energy Corporation,,Public Utilities,Power Generation,NYSE,STK,USD,,
CBH,AllianzGI Convertible & Income 2024 Target Term Fund,2017,n/a,n/a,NYSE,STK,USD,,
NCV,AllianzGI Convertible & Income Fund,2003,n/a,n/a,NYSE,STK,USD,,
NCZ,AllianzGI Convertible & Income Fund II,2003,n/a,n/a,NYSE,STK,USD,,
ACV,AllianzGI Diversified Income & Convertible Fund,2015,n/a,n/a,NYSE,STK,USD,,
NIE,AllianzGI Equity & Convertible Income Fund,2007,n/a,n/a,NYSE,STK,USD,,
NFJ,"AllianzGI NFJ Dividend, Interest & Premium Strategy Fund",2005,Finance,Finance: Consumer Services,NYSE,STK,USD,,
ALSN,"Allison Transmission Holdings, Inc.",2012,Capital Goods,Auto Parts:O.E.M.,NYSE,STK,USD,,
ALL,Allstate Corporation (The),,Finance,Property-Casualty Insurers,NYSE,STK,USD,,
ALLY,Ally Financial Inc.,2014,Finance,Finance: Consumer Services,NYSE,STK,USD,,
AYX,"Alteryx, Inc.",2017,Technology,Computer Software: Prepackaged Software,NYSE,STK,USD,,
ATUS,"Altice USA, Inc.",2017,Consumer Services,Television Services,NYSE,STK,USD,,
MO,Altria Group,,Consumer Non-Durables,Farming/Seeds/Milling,NYSE,STK,USD,,
ACH,Aluminum Corporation of China Limited,2001,Basic Industries,Aluminum,NYSE,STK,USD,,
AMBR,"Amber Road, Inc.",2014,Technology,Computer Software: Prepackaged Software,NYSE,STK,USD,,
ABEV,Ambev S.A.,2013,Consumer Non-Durables,Beverages (Production/Distribution),NYSE,STK,USD,,
AMC,"AMC Entertainment Holdings, Inc.",2013,Consumer Services,Movies/Entertainment,NYSE,STK,USD,,
AEE,Ameren Corporation,,Public Utilities,Power Generation,NYSE,STK,USD,,
AMRC,"Ameresco, Inc.",2010,Basic Industries,Engineering & Construction,NYSE,STK,USD,,
AMOV,"America Movil, S.A.B. de C.V.",,Public Utilities,Telecommunications Equipment,NYSE,STK,USD,,
AMX,"America Movil, S.A.B. de C.V.",,Public Utilities,Telecommunications Equipment,NYSE,STK,USD,,
AAT,"American Assets Trust, Inc.",2011,Consumer Services,Real Estate Investment Trusts,NYSE,STK,USD,,
AXL,"American Axle & Manufacturing Holdings, Inc.",,Capital Goods,Auto Parts:O.E.M.,NYSE,STK,USD,,
ACC,American Campus Communities Inc,2004,Consumer Services,Real Estate Investment Trusts,NYSE,STK,USD,,
AEO,"American Eagle Outfitters, Inc.",,Consumer Services,Clothing/Shoe/Accessory Stores,NYSE,STK,USD,,
