Date,Open,High,Low,Close,Adj Close,Volume
2018-04-11,263.47,265.64,263.39,263.76,257.49,91140200
2018-04-12,265.26,267.0,265.06,265.93,259.61,68890500
2018-04-13,267.41,267.54,264.01,265.15,258.84,85079200
2018-04-16,267.0,268.2,266.07,267.33,260.97,63405300
2018-04-17,269.33,270.87,268.75,270.19,263.77,64682000
2018-04-18,270.69,271.3,269.87,270.39,263.96,57303900
2018-04-19,269.65,269.88,267.72,268.89,262.5,77655900
2018-04-20,268.81,269.06,265.61,266.61,260.27,99953100
2018-04-23,267.26,267.89,265.35,266.57,260.23,65558000
2018-04-24,267.73,267.98,261.28,262.98,256.73,112885500
2018-04-25,262.91,264.13,260.85,263.63,257.36,103840900
2018-04-26,264.79,267.25,264.29,266.31,259.98,67731900
2018-04-27,267.0,267.34,265.5,266.56,260.22,57053600
