,close,high,low,open,volume
1605191460,355.1,355.68,355.03,355.56,2333
1605191520,355.04,355.18,354.78,355.11,3124
1605191580,355.16,355.19,354.86,355.03,1403
1605191640,355.21,355.35,355.04,355.15,1677
1605191700,355.22,355.64,355.13,355.22,1811
1605191760,355.37,355.5,355.12,355.24,1632
1605191820,355.46,355.6,355.32,355.35,1252
1605191880,355.58,355.59,355.42,355.44,1091
1605191940,355.72,355.84,355.58,355.58,1477
1605192000,355.5,355.84,355.48,355.72,2070
1605192060,355.45,355.57,355.41,355.53,1085
1605192120,355.31,355.53,355.2,355.45,1160
1605192180,355.22,355.38,355.1,355.3,1085
1605192240,355.26,355.41,355.12,355.25,1638
1605192300,355.33,355.47,355.26,355.27,1076
1605192360,355.13,355.38,355.02,355.33,1160
1605192420,355.17,355.25,355.03,355.13,1306
1605192480,354.97,355.19,354.91,355.18,1389
1605192540,354.76,354.99,354.75,354.98,1766
1605192600,354.89,354.97,354.67,354.77,2181
1605192660,355.11,355.19,354.78,354.88,2340
1605192720,355.02,355.3,354.99,355.11,2148
1605192780,355.37,355.39,354.99,355.01,1397
1605192840,355.37,355.39,355.26,355.38,807
1605192900,355.02,355.38,355.02,355.38,1526
1605192960,354.92,355.05,354.85,355.04,1532
1605193020,355.23,355.25,354.91,354.93,1121
1605193080,355.35,355.49,355.16,355.22,995
1605193140,355.34,355.52,355.21,355.33,886
1605193200,355.0,355.34,354.96,355.33,1124
1605193260,355.24,355.35,354.97,355.0,719
1605193320,355.16,355.31,355.1,355.21,778
1605193380,355.2,355.23,355.1,355.17,442
1605193440,355.24,355.31,355.14,355.16,298
1605193500,355.28,355.38,355.22,355.24,816
1605193560,355.22,355.52,355.21,355.29,649
1605193620,355.46,355.49,355.18,355.2,815
1605193680,355.54,355.65,355.37,355.46,1305
1605193740,355.62,355.62,355.47,355.53,1451
1605193800,355.61,355.73,355.52,355.61,3006
1605193860,355.64,355.66,355.56,355.61,1638
1605193920,355.83,355.89,355.59,355.63,1012
1605193980,356.07,356.17,355.81,355.83,2214
1605194040,356.09,356.13,356.03,356.05,1032
